,ZIP,MSA,AREA,OCCUPATION,GROUP,TOTAL EMPLOYMENT,JOBS PER 1000,LOCATION QUOTIENT,ANNUAL MEAN,ANNUAL MEDIAN
117,27623,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
118,27624,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
119,27624,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
120,27625,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
121,27625,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
122,27626,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
123,27626,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
124,27627,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
125,27627,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
126,27628,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
127,27628,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
128,27629,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
129,27629,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
130,27634,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
131,27634,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
132,27635,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
133,27635,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
134,27636,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
135,27636,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
136,27640,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
137,27640,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
138,27650,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
139,27650,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
140,27656,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
141,27656,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
142,27658,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
143,27658,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
144,27661,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
145,27661,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
146,27668,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
147,27668,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
148,27675,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
149,27675,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
150,27676,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
151,27676,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
152,27690,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
153,27690,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
154,27695,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
155,27695,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
156,27697,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
157,27697,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
158,27698,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
159,27698,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
160,27699,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
161,27699,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
