,zip,latitude,longitude,median_sale_price,percent_change_home_price,parent_metro_region,total_stores,occupation,total_employment,jobs_per_1000,annual_mean_salary,annual_median_salary,city_year,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
79,30064,33.940455,-84.609708,298400.0,-0.3005588407393383,"Atlanta, GA",4.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
80,30066,34.032388,-84.505154,291625.0,-0.0481231884057972,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
81,30067,33.934278,-84.462185,341113.63636363635,0.0240445968710991,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
82,30068,33.968116,-84.431704,383066.6666666667,-0.3346344835936554,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
83,30071,33.940652,-84.206734,363353.4666666667,0.2054593978132883,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
84,30072,33.792116,-84.206463,235685.89743589744,-0.4110015340784571,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
85,30076,34.028483,-84.311423,259000.0,-0.4296226673846947,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,35964.0,26474.0,73.6,3.1,769.0,3.0
86,30079,33.792055,-84.257369,334250.0,-0.0649041824031333,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
87,30080,33.86994,-84.498081,511000.0,0.022,"Atlanta, GA",4.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
88,30082,33.854654,-84.536437,448000.0,0.070489844683393,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
89,30083,33.797412,-84.197984,147272.7272727273,-0.2413717360863237,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
90,30084,33.854097,-84.216155,217599.5,-0.356898583166052,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
91,30087,33.805871,-84.126928,299999.5,-0.016395081967213,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
92,30088,33.756052,-84.182363,234450.0,0.0105603448275861,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
93,30092,33.972386,-84.231986,515000.0,0.0684647302904564,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,28369.0,20355.0,71.8,3.3,879.0,4.5
94,30093,33.908536,-84.177349,206833.3333333333,-0.3032646660381813,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
95,30094,33.612505,-84.051523,270750.0,-0.0884860010897354,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
96,30096,33.974292,-84.145426,355000.0,0.011684240524366,"Atlanta, GA",4.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
97,30097,34.026142,-84.145592,575001.0,-0.0650390243902439,"Atlanta, GA",4.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,37148.0,25190.0,67.8,4.5,944.0,3.9
98,30101,34.034515,-84.707349,391277.77777777775,0.0266566790135054,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
99,30102,34.110196,-84.631357,81076.15384615381,-0.828377094018087,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
100,30103,34.366336,-84.917546,244950.0,-0.006288032454361,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
101,30106,33.83901,-84.628247,294250.0,0.0077054794520547,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
102,30107,34.336291,-84.345793,43019.482758620696,-0.8355304645223814,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
103,30108,33.5317,-85.262996,215000.0,0.048780487804878,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
