,city_year,zip_code,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
1099,atlanta_2017,30349,52910,37598,71.1,12.9,1164,3.6
1100,atlanta_2017,30350,31671,24162,76.3,6.5,1081,4.8
1101,atlanta_2017,30354,12990,7708,59.3,12.1,147,2.2
1102,atlanta_2017,30363,3077,2157,70.1,6.0,173,8.5
1103,atlanta_2018,30032,40492,24512,60.5,12.8,645,3.0
1104,atlanta_2018,30303,6627,2795,42.2,17.6,101,4.4
1105,atlanta_2018,30305,20229,14456,71.5,1.3,610,4.3
1106,atlanta_2018,30306,20250,15857,78.3,2.6,746,4.8
1107,atlanta_2018,30307,16400,12568,76.6,4.6,602,5.0
1108,atlanta_2018,30308,16898,13434,79.5,3.7,706,5.5
1109,atlanta_2018,30309,22354,17986,80.5,2.7,650,3.7
1110,atlanta_2018,30310,23175,14662,63.3,10.5,422,3.2
1111,atlanta_2018,30311,29143,16932,58.1,16.0,447,3.2
1112,atlanta_2018,30312,18871,13711,72.7,4.2,858,6.5
1113,atlanta_2018,30313,10949,5215,47.6,15.4,93,2.1
1114,atlanta_2018,30314,20394,10637,52.2,16.4,183,2.1
1115,atlanta_2018,30315,26879,14702,54.7,14.3,308,2.5
1116,atlanta_2018,30316,27910,19661,70.4,5.6,971,5.2
1117,atlanta_2018,30317,10834,7796,72.0,6.2,269,3.7
1118,atlanta_2018,30318,45302,28662,63.3,7.5,1195,4.5
1119,atlanta_2018,30319,34803,25823,74.2,2.2,1082,4.3
1120,atlanta_2018,30324,24140,18763,77.7,2.7,954,5.2
1121,atlanta_2018,30326,5705,4423,77.5,4.7,215,5.1
1122,atlanta_2018,30327,17861,10604,59.4,2.8,474,4.6
1123,atlanta_2018,30331,50127,31059,62.0,13.1,735,2.7
1124,atlanta_2018,30332,3115,791,25.4,5.3,0,0.0
1125,atlanta_2018,30334,0,0,-,-,0,-
1126,atlanta_2018,30336,220,80,36.4,0.0,0,0.0
1127,atlanta_2018,30342,23367,17759,76.0,2.8,866,5.0
1128,atlanta_2018,30344,25919,17625,68.0,9.1,412,2.6
1129,atlanta_2018,30354,12732,8069,63.4,9.2,145,2.0
1130,atlanta_2018,30363,3441,2250,65.4,4.7,205,9.6
1131,atlanta_2018,30004,48561,34531,71.1,3.0,1800,5.4
1132,atlanta_2018,30005,29694,21278,71.7,4.4,1134,5.6
1133,atlanta_2018,30009,12280,8228,67.0,5.9,346,4.5
1134,atlanta_2018,30022,53443,38213,71.5,4.2,1732,4.7
1135,atlanta_2018,30024,57533,39901,69.4,3.3,1370,3.6
1136,atlanta_2018,30075,42146,28500,67.6,3.6,1189,4.3
1137,atlanta_2018,30076,35468,26031,73.4,3.1,894,3.5
1138,atlanta_2018,30092,28201,20697,73.4,4.2,984,5.0
1139,atlanta_2018,30097,36764,24620,67.0,5.6,953,4.1
1140,atlanta_2018,30213,23662,16395,69.3,5.6,489,3.2
1141,atlanta_2018,30268,7942,4344,54.7,8.1,55,1.4
1142,atlanta_2018,30291,16104,10504,65.2,11.0,269,2.9
1143,atlanta_2018,30296,21895,14762,67.4,10.0,229,1.7
1144,atlanta_2018,30303,6627,2795,42.2,17.6,101,4.4
1145,atlanta_2018,30305,20229,14456,71.5,1.3,610,4.3
1146,atlanta_2018,30306,20250,15857,78.3,2.6,746,4.8
1147,atlanta_2018,30307,16400,12568,76.6,4.6,602,5.0
1148,atlanta_2018,30308,16898,13434,79.5,3.7,706,5.5
1149,atlanta_2018,30309,22354,17986,80.5,2.7,650,3.7
1150,atlanta_2018,30310,23175,14662,63.3,10.5,422,3.2
1151,atlanta_2018,30311,29143,16932,58.1,16.0,447,3.2
1152,atlanta_2018,30312,18871,13711,72.7,4.2,858,6.5
1153,atlanta_2018,30313,10949,5215,47.6,15.4,93,2.1
1154,atlanta_2018,30314,20394,10637,52.2,16.4,183,2.1
1155,atlanta_2018,30315,26879,14702,54.7,14.3,308,2.5
1156,atlanta_2018,30316,27910,19661,70.4,5.6,971,5.2
1157,atlanta_2018,30317,10834,7796,72.0,6.2,269,3.7
1158,atlanta_2018,30318,45302,28662,63.3,7.5,1195,4.5
1159,atlanta_2018,30319,34803,25823,74.2,2.2,1082,4.3
1160,atlanta_2018,30324,24140,18763,77.7,2.7,954,5.2
1161,atlanta_2018,30326,5705,4423,77.5,4.7,215,5.1
1162,atlanta_2018,30327,17861,10604,59.4,2.8,474,4.6
1163,atlanta_2018,30328,30734,22107,71.9,2.4,1175,5.4
1164,atlanta_2018,30331,50127,31059,62.0,13.1,735,2.7
1165,atlanta_2018,30332,3115,791,25.4,5.3,0,0.0
1166,atlanta_2018,30334,0,0,-,-,0,-
1167,atlanta_2018,30336,220,80,36.4,0.0,0,0.0
1168,atlanta_2018,30337,10400,6971,67.0,8.5,183,2.9
1169,atlanta_2018,30338,26881,17835,66.3,3.7,809,4.7
1170,atlanta_2018,30339,21144,16523,78.1,2.9,455,2.8
1171,atlanta_2018,30342,23367,17759,76.0,2.8,866,5.0
1172,atlanta_2018,30344,25919,17625,68.0,9.1,412,2.6
1173,atlanta_2018,30349,56062,38625,68.9,10.5,1001,2.9
1174,atlanta_2018,30350,32725,24952,76.2,5.0,1074,4.5
1175,atlanta_2018,30354,12732,8069,63.4,9.2,145,2.0
1176,atlanta_2018,30363,3441,2250,65.4,4.7,205,9.6
1177,atlanta_2019,30032,39622,24123,60.9,11.4,624,2.9
1178,atlanta_2019,30303,6580,2704,41.1,17.8,111,5.0
1179,atlanta_2019,30305,20968,14950,71.3,1.2,580,3.9
1180,atlanta_2019,30306,19989,15517,77.6,3.2,712,4.7
1181,atlanta_2019,30307,16729,12924,77.3,4.5,563,4.6
1182,atlanta_2019,30308,17798,13945,78.4,3.5,605,4.5
1183,atlanta_2019,30309,24113,19286,80.0,2.2,718,3.8
1184,atlanta_2019,30310,22620,14770,65.3,10.0,315,2.4
1185,atlanta_2019,30311,28836,16360,56.7,13.2,417,2.9
1186,atlanta_2019,30312,20516,15379,75.0,3.7,975,6.6
1187,atlanta_2019,30313,11048,4900,44.4,12.9,81,1.9
1188,atlanta_2019,30314,20723,10188,49.2,11.8,175,1.9
1189,atlanta_2019,30315,26575,15104,56.8,11.3,378,2.8
1190,atlanta_2019,30316,28320,20321,71.8,5.3,1066,5.6
1191,atlanta_2019,30317,10723,7866,73.4,5.2,308,4.1
1192,atlanta_2019,30318,46856,30020,64.1,6.5,1334,4.8
1193,atlanta_2019,30319,35680,26473,74.2,2.7,1190,4.6
1194,atlanta_2019,30324,25413,20283,79.8,2.0,984,5.0
1195,atlanta_2019,30326,6268,4913,78.4,4.9,120,2.6
1196,atlanta_2019,30327,18272,10965,60.0,3.3,456,4.3
1197,atlanta_2019,30331,51269,32096,62.6,9.8,767,2.7
1198,atlanta_2019,30332,3034,672,22.1,3.7,0,0.0
1199,atlanta_2019,30334,0,0,-,-,0,-
1200,atlanta_2019,30336,261,117,44.8,21.4,0,0.0
1201,atlanta_2019,30342,24042,18366,76.4,2.8,860,4.8
1202,atlanta_2019,30344,25633,17640,68.8,7.0,606,3.7
1203,atlanta_2019,30354,12155,8422,69.3,8.3,182,2.4
1204,atlanta_2019,30363,3690,2395,64.9,4.6,192,8.4
1205,atlanta_2019,30004,49629,35457,71.4,3.0,1906,5.5
1206,atlanta_2019,30005,29699,21511,72.4,3.5,1096,5.3
