,ZIP,MSA,AREA,OCCUPATION,GROUP,TOTAL EMPLOYMENT,JOBS PER 1000,LOCATION QUOTIENT,ANNUAL MEAN,ANNUAL MEDIAN
116,27602,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
117,27603,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
118,27603,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
119,27603,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
120,27604,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
121,27604,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
122,27604,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
123,27605,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
124,27605,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
125,27605,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
126,27606,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
127,27606,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
128,27606,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
129,27607,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
130,27607,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
131,27607,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
132,27608,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
133,27608,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
134,27608,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
135,27609,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
136,27609,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
137,27609,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
138,27610,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
139,27610,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
140,27610,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
141,27611,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
142,27611,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
143,27611,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
144,27612,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
145,27612,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
146,27612,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
147,27613,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
148,27613,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
149,27613,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
150,27614,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
151,27614,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
152,27614,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
153,27615,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
154,27615,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
155,27615,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
