,city_year,zip_code,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor,average_yearly_rate_of_change,total_ARC
160,miami_2018,33194,6880,3286,47.8,3.7,20,0.6,-0.46,-0.02
161,miami_2019,33194,6584,3100,47.1,2.3,48,1.6,1.67,-0.02
162,atlanta_2011,30005,24684,18135,73.5,5.5,891,5.2,0.0,0.01
163,atlanta_2012,30005,25836,18895,73.1,4.7,973,5.4,0.04,0.01
164,atlanta_2013,30005,26395,18907,71.6,6.6,958,5.4,0.0,0.01
165,atlanta_2014,30005,27110,19139,70.6,6.5,882,4.9,-0.09,0.01
166,atlanta_2015,30005,27252,19543,71.7,5.9,804,4.4,-0.1,0.01
167,atlanta_2016,30005,29128,20499,70.4,5.2,906,4.7,0.07,0.01
168,atlanta_2017,30005,29847,21045,70.5,5.6,882,4.4,-0.06,0.01
169,atlanta_2018,30005,29694,21278,71.7,4.4,1134,5.6,0.27,0.01
170,atlanta_2019,30005,29699,21511,72.4,3.5,1096,5.3,-0.05,0.01
171,atlanta_2011,30092,23975,18043,75.3,9.1,926,5.7,0.0,-0.02
172,atlanta_2012,30092,23977,17926,74.8,8.7,707,4.3,-0.25,-0.02
173,atlanta_2013,30092,24744,18499,74.8,9.6,767,4.6,0.07,-0.02
174,atlanta_2014,30092,25813,19158,74.2,8.6,723,4.1,-0.11,-0.02
175,atlanta_2015,30092,26054,19356,74.3,7.2,837,4.7,0.15,-0.02
176,atlanta_2016,30092,26934,19640,72.9,7.0,779,4.3,-0.08,-0.02
177,atlanta_2017,30092,28110,20656,73.5,5.4,914,4.7,0.09,-0.02
178,atlanta_2018,30092,28201,20697,73.4,4.2,984,5.0,0.06,-0.02
179,atlanta_2019,30092,28369,20355,71.8,3.3,879,4.5,-0.1,-0.02
180,atlanta_2011,30097,28772,19332,67.2,6.2,838,4.6,0.0,-0.02
181,atlanta_2012,30097,30173,19972,66.2,6.6,778,4.2,-0.09,-0.02
182,atlanta_2013,30097,31034,20986,67.6,6.6,775,4.0,-0.05,-0.02
183,atlanta_2014,30097,32753,21859,66.7,6.5,783,3.8,-0.05,-0.02
184,atlanta_2015,30097,34268,22517,65.7,7.6,814,3.9,0.03,-0.02
185,atlanta_2016,30097,35860,23989,66.9,7.1,769,3.5,-0.1,-0.02
186,atlanta_2017,30097,35798,24154,67.5,6.1,889,3.9,0.11,-0.02
187,atlanta_2018,30097,36764,24620,67.0,5.6,953,4.1,0.05,-0.02
188,atlanta_2019,30097,37148,25190,67.8,4.5,944,3.9,-0.05,-0.02
189,atlanta_2011,30314,19269,9474,49.2,20.7,152,2.0,0.0,0.02
190,atlanta_2012,30314,19006,9807,51.6,21.4,274,3.6,0.8,0.02
191,atlanta_2013,30314,18668,9609,51.5,20.4,262,3.4,-0.06,0.02
192,atlanta_2014,30314,18655,9486,50.8,22.7,311,4.2,0.24,0.02
193,atlanta_2015,30314,20144,10863,53.9,20.1,377,4.3,0.02,0.02
194,atlanta_2016,30314,19738,10690,54.2,18.0,356,4.1,-0.05,0.02
195,atlanta_2017,30314,20864,11336,54.3,17.8,283,3.0,-0.27,0.02
196,atlanta_2018,30314,20394,10637,52.2,16.4,183,2.1,-0.3,0.02
197,atlanta_2019,30314,20723,10188,49.2,11.8,175,1.9,-0.1,0.02
198,atlanta_2011,30318,44273,28934,65.4,14.9,979,4.0,0.0,0.01
199,atlanta_2012,30318,43972,28387,64.6,16.0,1029,4.3,0.08,0.01
200,atlanta_2013,30318,44080,28363,64.3,17.2,990,4.2,-0.02,0.01
201,atlanta_2014,30318,43026,27692,64.4,14.6,1016,4.3,0.02,0.01
202,atlanta_2015,30318,41685,26150,62.7,12.4,1045,4.6,0.07,0.01
203,atlanta_2016,30318,41745,25441,60.9,9.7,903,3.9,-0.15,0.01
204,atlanta_2017,30318,42254,26033,61.6,8.0,996,4.2,0.08,0.01
205,atlanta_2018,30318,45302,28662,63.3,7.5,1195,4.5,0.07,0.01
206,atlanta_2019,30318,46856,30020,64.1,6.5,1334,4.8,0.07,0.01
207,atlanta_2011,30342,22829,17760,77.8,6.1,334,2.0,0.0,0.05
208,atlanta_2012,30342,23876,18033,75.5,6.1,445,2.6,0.3,0.05
209,atlanta_2013,30342,24809,18755,75.6,7.4,502,2.9,0.12,0.05
210,atlanta_2014,30342,23763,17956,75.6,6.2,596,3.5,0.21,0.05
211,atlanta_2015,30342,23575,17948,76.1,4.4,677,4.0,0.14,0.05
212,atlanta_2016,30342,23203,17518,75.5,3.6,699,4.1,0.02,0.05
213,atlanta_2017,30342,22653,17369,76.7,3.1,700,4.2,0.02,0.05
214,atlanta_2018,30342,23367,17759,76.0,2.8,866,5.0,0.19,0.05
215,atlanta_2019,30342,24042,18366,76.4,2.8,860,4.8,-0.04,0.05
216,atlanta_2011,30349,49870,37095,74.4,14.8,916,2.9,0.0,-0.01
217,atlanta_2012,30349,49331,36319,73.6,15.0,949,3.1,0.07,-0.01
218,atlanta_2013,30349,50645,36910,72.9,16.1,966,3.1,0.0,-0.01
219,atlanta_2014,30349,50907,36286,71.3,15.8,1077,3.5,0.13,-0.01
220,atlanta_2015,30349,51831,36030,69.5,14.4,1012,3.3,-0.06,-0.01
221,atlanta_2016,30349,51546,36430,70.7,13.4,1003,3.2,-0.03,-0.01
222,atlanta_2017,30349,52910,37598,71.1,12.9,1164,3.6,0.12,-0.01
223,atlanta_2018,30349,56062,38625,68.9,10.5,1001,2.9,-0.19,-0.01
224,atlanta_2019,30349,57477,40232,70.0,8.8,893,2.4,-0.17,-0.01
225,atlanta_2011,30354,11263,7023,62.4,15.0,123,2.1,0.0,0.16
226,atlanta_2012,30354,11798,7259,61.5,19.7,148,2.5,0.19,0.16
227,atlanta_2013,30354,12394,7366,59.4,22.1,145,2.5,0.0,0.16
228,atlanta_2014,30354,12477,7491,60.0,22.8,139,2.4,-0.04,0.16
229,atlanta_2015,30354,12720,7699,60.5,19.0,31,0.5,-0.79,0.16
230,atlanta_2016,30354,12784,7491,58.6,13.5,141,2.2,3.4,0.16
231,atlanta_2017,30354,12990,7708,59.3,12.1,147,2.2,0.0,0.16
232,atlanta_2019,30354,12155,8422,69.3,8.3,182,2.4,0.2,0.16
233,miami_2011,33010,38495,21163,55.0,12.3,173,0.9,0.0,0.1
234,miami_2012,33010,38977,21705,55.7,15.0,177,1.0,0.11,0.1
235,miami_2013,33010,39320,21894,55.7,15.3,156,0.8,-0.2,0.1
236,miami_2014,33010,39487,21848,55.3,15.2,246,1.3,0.62,0.1
237,miami_2015,33010,39132,21912,56.0,13.4,270,1.4,0.08,0.1
238,miami_2016,33010,40304,22649,56.2,11.1,401,2,0.43,0.1
239,miami_2017,33010,40326,22113,54.8,7.6,439,2.1,0.05,0.1
240,miami_2018,33010,40572,22572,55.6,6.3,402,1.9,-0.1,0.1
241,miami_2019,33010,39061,22276,57.0,5.2,385,1.8,-0.05,0.1
242,miami_2011,33031,4873,3094,63.5,6.7,0,0.0,0.0,0.41
243,miami_2012,33031,5340,3258,61.0,9.4,0,0.0,0.0,0.41
244,miami_2013,33031,5153,3060,59.4,11.9,0,0.0,0.0,0.41
245,miami_2014,33031,5039,3113,61.8,11.4,0,0.0,0.0,0.41
246,miami_2015,33031,5324,3486,65.5,9.4,0,0.0,0.0,0.41
247,miami_2016,33031,5175,3503,67.7,8.5,8,0.3,0.0,0.41
248,miami_2017,33031,4931,3387,68.7,5.9,36,1.1,2.67,0.41
249,miami_2018,33031,5655,3960,70.0,5.2,41,1.1,0.0,0.41
250,miami_2019,33031,5580,3817,68.4,3.6,66,1.8,0.64,0.41
251,miami_2011,33033,33845,21877,64.6,9.9,356,1.8,0.0,0.0
252,miami_2012,33033,36322,23309,64.2,11.5,317,1.6,-0.11,0.0
253,miami_2013,33033,37344,23849,63.9,13.0,385,1.9,0.19,0.0
254,miami_2014,33033,38734,24572,63.4,12.5,308,1.5,-0.21,0.0
255,miami_2015,33033,40979,26004,63.5,14.2,297,1.4,-0.07,0.0
256,miami_2016,33033,40992,25325,61.8,13,338,1.6,0.14,0.0
